127.0.0.1 - - [10/Apr/2022:15:22:01 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:22:02 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:22:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:22:39 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:22:40 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:22:49 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:23:28 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:23:30 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:23:31 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:24:46 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:24:47 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:25:49 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:25:49 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:26:14 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:26:25 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:26:31 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:27:30 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:28:27 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:30:24 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:31:45 +0530] "GET /ServletTech/submit.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:31:52 +0530] "POST /ServletTech/RegisterServlet HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:31:56 +0530] "POST /ServletTech/RegisterServlet HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:40:17 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:40:17 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:40:18 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Apr/2022:15:40:18 +0530] "GET /ServletTech/Bike.html HTTP/1.1" 304 -
